"Artifact_Gene","Major_Cluster","Subcluster","No..cell","Enrichment_Score","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","Avg_Exp","Source_of_Artifacts_SoA","SoA_No..cell","SoA_Enrichment_Score","SoA_avg_log2FC","SoA_pct.1","SoA_pct.2","SoA_p_val","SoA_p_val_adj","SoA_Avg_Exp"
"TSPO","M4","S0",298,0.00121314702102858,0.00475743929815131,0.819,0.564,0.000658907968592276,1,2.26174496644296,"M2",1997,0.347972215672872,1.79367121480862,0.891,0.697,0,0,3.02538631346574
"TUBG1","M4","S0",298,0.0567014221070902,0.327753885012082,0.359,0.186,2.88142746053048e-08,0.000730124904223818,0.550335570469799,"M1",1997,0.817338762406846,1.65118941900373,0.855,0.36,0,0,2.4260324098275
"UBAC1","M4","S0",298,0.124972525365676,0.647526038164123,0.285,0.092,1.12763207762544e-18,2.85730692149511e-14,0.35234899328859,"M3",1997,2.1099585910759,2.94275954124951,0.958,0.241,0,0,5.0538258575198
"UBBP4","M4","S0",298,0.00128542118762409,0.0918157991160062,0.023,0.009,0.0266493321482629,1,0.023489932885906,"M3",1997,0.999581804020581,2.40863085306164,0.437,0.022,0,0,0.61899736147757
"UBE2J1","M4","S0",298,0.0190778431133088,0.0930626493332139,0.416,0.211,6.74852033445884e-09,0.000171000756754853,0.543624161073826,"M2",1997,0.20138033626421,1.4917061945497,0.497,0.362,5.08532424394638e-83,1.28857031017357e-78,0.726269315673282
"UFD1L","M4","S0",298,0.0833493978246746,0.285443143235187,0.604,0.312,1.03476066242497e-12,2.62198004251864e-08,1.01006711409396,"M3",1997,1.11096512237133,2.39432138442098,0.99,0.526,0,0,10.6469656992085
"UROD","M4","S0",298,0.395428182781378,0.926061317989176,0.785,0.358,9.26352976142193e-34,2.3472858062467e-29,2.05369127516779,"M3",1997,1.30371122854014,2.38774950282077,0.987,0.441,0,0,8.28073878627974
"WDR54","M4","S0",298,0.00590976101513505,0.0767501430537019,0.164,0.087,0.000133413769009021,1,0.181208053691275,"M1",1997,0.890361493999544,1.78787448594286,0.624,0.126,0,0,1.09879769994774
"YBX1","M4","S0",298,0.165138445369709,0.471824129627741,0.899,0.549,1.48613902270609e-16,3.76572766963495e-12,2.79530201342283,"M2",1997,0.202190112708777,1.72812062144254,0.941,0.824,0,0,4.39569536423838
"YBX3","M4","S0",298,0.196755885482213,0.707754983748968,0.44,0.162,4.54829045879799e-22,1.15249131935482e-17,0.620805369127517,"M1",1997,1.2230023032853,2.23993095839798,0.939,0.393,0,0,4.16675378985883
"YDJC","M4","S0",298,0.00064071120096195,0.00308034231231707,0.483,0.275,1.33074691646588e-06,0.033719796116329,0.734899328859062,"M3",1997,1.3573383164133,2.67719589036154,0.991,0.484,0,0,11.9656992084433
"YWHAE","M4","S0",298,0.0347889466356449,0.114815005398168,0.721,0.418,2.85854327982313e-07,0.00724326281674384,1.50671140939598,"M1",1997,0.768134803542917,1.90604169613627,0.988,0.585,0,0,6.49660219550444
"ZMPSTE24","M4","S0",298,0.0132864424739368,0.121893967650796,0.221,0.112,3.82043633661798e-06,0.0968060363335631,0.25503355704698,"M2",1997,1.02347821776424,2.79638857312635,0.647,0.281,0,0,1.33940397350992
"ZNF511","M4","S0",298,0.0659060193300301,0.260498100118696,0.487,0.234,1.59360461964599e-12,4.03803474572098e-08,0.694630872483222,"M1",1997,0.806077868377484,1.62515699269654,0.841,0.345,0,0,2.21693674856248
"ZNF684","M4","S0",298,0.000990564210835555,0.0521349584650292,0.037,0.018,0.0416077727143405,1,0.0402684563758389,"M2",1997,0.614909266465823,2.75744065679741,0.272,0.049,1.07738212488619e-181,2.72997856624911e-177,0.338852097130244
"AC016723.4","M4","S1",248,0.000255691461714651,0.255691461714651,0.004,0.003,0.878489006778525,1,0.00403225806451613,"M3",1997,2.08780399403933,3.41144443470479,0.616,0.004,0,0,1.04221635883904
"AGT","M4","S1",248,0.000211792988654888,0.105896494327444,0.004,0.002,0.44422576839022,1,0.00403225806451613,"M2",1997,1.64128795381928,4.09298741600819,0.409,0.008,0,0,0.578918322295804
"AHSP","M4","S1",248,4.68163422112777e-05,0.0468163422112777,0.004,0.003,0.752069695207217,1,0.00403225806451613,"M3",1997,2.1375307620248,4.14250147679224,0.52,0.004,0,0,1.6928759894459
"AP1S2","M4","S1",248,0.0711018272043327,0.623700238634497,0.407,0.293,9.13442109690912e-06,0.23145709617458,0.560483870967742,"M2",1997,0.469286041817054,2.43153389542515,0.583,0.39,4.78052583407698e-148,1.21133744109677e-143,1.74503311258277
"APLP2","M4","S1",248,0.000308867340205737,0.0171592966780965,0.379,0.361,0.43954846856859,1,0.508064516129032,"M2",1997,0.708561425882923,2.39378860095582,0.879,0.583,0,0,2.96964679911696
"ARPC5","M4","S1",248,0.0604376139621366,0.4796636028741,0.742,0.616,2.94847749062246e-08,0.000747114711348826,1.57661290322581,"M2",1997,0.287494135231309,1.79683834519568,0.872,0.712,0,0,3.01766004415007
"B9D1","M4","S1",248,0.00145161127069263,0.241935211782105,0.028,0.022,0.540530944394528,1,0.0282258064516129,"M1",1997,1.37437748863539,2.71080372511911,0.576,0.069,0,0,1.0099320439101
"BAMBI","M4","S1",248,0.001834740992338,0.3669481984676,0.016,0.011,0.462676897000123,1,0.0161290322580645,"M1",1997,0.96090586464627,2.47019502479761,0.447,0.058,0,0,0.715629900679567
