"Artifact_Gene","Major_Cluster","Subcluster","No..cell","Enrichment_Score","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","Avg_Exp","Source_of_Artifacts_SoA","SoA_No..cell","SoA_Enrichment_Score","SoA_avg_log2FC","SoA_pct.1","SoA_pct.2","SoA_p_val","SoA_p_val_adj","SoA_Avg_Exp"
"AC016723.4","M1","S0",305,0.000137567253206908,0.0687836266034538,0.007,0.005,0.722362349716336,1,0.00655737704918033,"M3",1913,2.08780399403933,3.41144443470479,0.616,0.004,0,0,1.04221635883904
"AC104389.28","M1","S0",305,0.000583697357414125,0.116739471482825,0.01,0.005,0.301615705364248,1,0.00983606557377049,"M3",1913,3.64311154629959,4.54253310012418,0.806,0.004,0,0,2.38839050131923
"ARPC5","M1","S0",305,0.00455577546224539,0.175222133163284,0.77,0.744,0.0121961577114674,1,1.50819672131147,"M2",1913,0.287494135231309,1.79683834519568,0.872,0.712,0,0,3.01766004415007
"BAZ1A","M1","S0",305,0.00648407030434884,0.209163558204801,0.754,0.723,0.00450954527828157,1,1.61311475409836,"M2",1913,0.181038141213298,1.57424470620259,0.752,0.637,1.66607122983528e-212,4.22165788927961e-208,2.05132450331124
"CA1","M1","S0",305,0.00238486561772788,0.198738801477323,0.023,0.011,0.0974462537983142,1,0.0229508196721312,"M3",1913,1.8243517733456,4.37494430058897,0.427,0.01,0,0,2.58047493403692
"CD82","M1","S0",305,0.00104168065002963,0.148811521432804,0.033,0.026,0.485809624004018,1,0.0327868852459016,"M4",1913,1.16888182891215,3.44802899384116,0.378,0.039,0,0,0.559339008512766
"CITED2","M1","S0",305,0.0304649363129415,0.380811703911769,0.607,0.527,1.1334539522963e-05,0.287205896972361,1.0983606557377,"M2",1913,0.187758151292214,1.42241023706223,0.669,0.537,1.30576522891388e-136,3.30867851354488e-132,1.49503311258277
"CMBL","M1","S0",305,0.00518371599458061,0.304924470269448,0.118,0.101,0.269555675056971,1,0.127868852459016,"M3",1913,1.02982239240929,2.22905279742271,0.515,0.053,0,0,0.856464379947223
"CNIH4","M1","S0",305,0.00124331638299218,0.0956397217686291,0.954,0.941,0.116101879027226,1,3.72459016393442,"M2",1913,0.215243715872941,1.51580081600663,0.826,0.684,4.70838609255733e-264,1.1930579519931e-259,2.74061810154522
"CR1L","M1","S0",305,0.00120347796317226,0.171925423310323,0.013,0.006,0.140932304161861,1,0.0131147540983607,"M3",1913,1.67743340721026,3.2634891190861,0.518,0.004,0,0,0.903957783641154
"CTCFL","M1","S0",305,0.000491285085297408,0.0982570170594816,0.007,0.002,0.141136361035487,1,0.00655737704918033,"M3",1913,2.11314644263629,3.53960878163532,0.599,0.002,0,0,1.00105540897097
"EMC2","M1","S0",305,0.0344712174067069,0.55598737752753,0.364,0.302,0.000576037161284493,1,0.465573770491804,"M4",1913,0.219598973861926,1.63879831240243,0.408,0.274,3.62994925016713e-65,9.1979284049985e-61,0.654982473710559
"FECH","M1","S0",305,0.0122001809393626,0.348576598267502,0.197,0.162,0.062312066019093,1,0.2,"M3",1913,0.958408493430984,1.83252101994452,0.636,0.113,0,0,1.12137203166226
"FNBP1","M1","S0",305,0.00167405236207138,0.239150337438768,0.154,0.147,0.452874576800639,1,0.160655737704918,"M4",1913,0.577752646192813,2.46902840253339,0.335,0.101,1.68820582244282e-153,4.27774473348786e-149,0.431647471206807
"GAGE1","M1","S0",305,2.84890569495233e-05,0.0284890569495233,0.01,0.009,0.930764193107771,1,0.00983606557377049,"M3",1913,2.32240896323117,3.58396444943082,0.653,0.005,0,0,1.24485488126648
"GCA","M1","S0",305,0.000809302660523125,0.202325665130781,0.161,0.157,0.601054185540052,1,0.183606557377049,"M4",1913,0.418479335436782,2.24988890019775,0.269,0.083,2.41450142574583e-113,6.11810516269735e-109,0.331497245868802
"GSTM3","M1","S0",305,0.001953518590792,0.0751353304150767,0.682,0.656,0.14768579594676,1,1.19016393442623,"M2",1913,0.454830551684607,1.88726369993613,0.542,0.301,2.25311974096914e-155,5.70918011164171e-151,0.96743929359822
"GSTT1","M1","S0",305,0.000117092185512605,0.0585460927563024,0.003,0.001,0.409926826861,1,0.00327868852459016,"M3",1913,1.32524886815861,2.91905037039341,0.456,0.002,0,0,0.65277044854881
"HIST1H2BN","M1","S0",305,0.00180640033096713,0.225800041370891,0.03,0.022,0.389691429548021,1,0.0295081967213115,"M3",1913,1.56496514678519,2.72167851614815,0.603,0.028,0,0,1.11451187335091
"HNRNPU-AS1","M1","S0",305,0.00438782452602253,0.258107325060149,0.207,0.19,0.268730039491818,1,0.236065573770492,"M2",1913,0.195880608818774,1.83065989550256,0.269,0.162,2.45163013093097e-41,6.21218558876599e-37,0.333333333333335
"IMPA1","M1","S0",305,0.0234521917242522,0.533004357369369,0.226,0.182,0.0138059660298994,1,0.272131147540983,"M4",1913,0.299742992470198,1.9463830679883,0.293,0.139,2.59098695738498e-72,6.56530185131779e-68,0.388082123184776
"KLRG1","M1","S0",305,0.000829759374343781,0.165951874868756,0.095,0.09,0.64675066923769,1,0.101639344262295,"M4",1913,0.976738453595059,3.31097780879681,0.34,0.045,6.25237688086681e-282,1.58428977784284e-277,0.47070605908863
"KRT18","M1","S0",305,0.00258381218992701,0.184558013566215,0.456,0.442,0.0491115563926533,1,0.790163934426228,"M3",1913,1.30496883572379,2.18222213331737,0.75,0.152,0,0,1.99788918205802
"KRT8","M1","S0",305,0.000893153960182406,0.0595435973454937,0.252,0.237,0.324467479603787,1,0.304918032786885,"M3",1913,1.25381858448948,2.38822587521806,0.609,0.084,0,0,1.31451187335091
"LITAF","M1","S0",305,0.00189141457980873,0.171946779982612,0.318,0.307,0.25004707485903,1,0.383606557377049,"M4",1913,0.353362199951856,2.11594131707698,0.332,0.165,2.88479877986567e-80,7.30979162830163e-76,0.489734601902851
"MAPK1","M1","S0",305,0.00866764437845862,0.288921479281954,0.246,0.216,0.0781719346812637,1,0.278688524590164,"M3",1913,1.18141951950147,1.82599616615374,0.844,0.197,0,0,2.1451187335092
"MFSD1","M1","S0",305,0.000381967058028929,0.12732235267631,0.072,0.069,0.771210347360216,1,0.0754098360655738,"M2",1913,0.248208716203817,1.46869062842495,0.312,0.143,1.03262774425139e-73,2.6165754411586e-69,0.391832229580576
"PAGE5","M1","S0",305,6.63096950067693e-05,0.0221032316689231,0.01,0.007,0.574279620545998,1,0.00983606557377049,"M3",1913,3.87701200191324,4.69940848716756,0.832,0.007,0,0,3.02955145118729
"PIM2","M1","S0",305,0.00660396257887635,0.264158503155054,0.134,0.109,0.14084480664605,1,0.140983606557377,"M3",1913,0.926713533469272,2.08719264294881,0.507,0.063,0,0,0.877044854881259
"PKP3","M1","S0",305,0.000308771188951859,0.0771927972379647,0.01,0.006,0.478725276266773,1,0.00983606557377049,"M3",1913,1.31603429228008,2.89875394775348,0.457,0.003,0,0,0.663324538258572
"PLCD1","M1","S0",305,0.000395428718693814,0.0988571796734536,0.016,0.012,0.506199578684212,1,0.0163934426229508,"M3",1913,1.57842126500889,3.02959935702282,0.529,0.008,0,0,0.857519788918199
"PPP1R18","M1","S0",305,0.00046208276426896,0.11552069106724,0.056,0.052,0.719633514576027,1,0.0557377049180328,"M4",1913,0.539920970552524,2.25908355879717,0.443,0.204,8.41538451035403e-148,2.13237428107861e-143,0.718077115673502
"PROSC","M1","S0",305,0.00166064357043759,0.207580446304698,0.292,0.284,0.300776209614363,1,0.350819672131148,"M4",1913,0.28729114672378,1.68994792190459,0.417,0.247,3.6515201006154e-84,9.25258678294937e-80,0.700550826239351
"RAD21","M1","S0",305,0.00160414136654458,0.133678447212048,0.705,0.693,0.0614239658203702,1,1.27213114754098,"M4",1913,0.288022160090022,1.94609567628393,0.729,0.581,1.02182646817445e-228,2.58920608770723e-224,2.29594391587382
"SCG3","M1","S0",305,5.80755043313924e-05,0.0290377521656962,0.023,0.021,0.778523443286025,1,0.0229508196721312,"M3",1913,1.02635203768461,3.08213825130513,0.342,0.009,0,0,0.901846965699204
"SENP6","M1","S0",305,0.00218343981710465,0.198494528827695,0.321,0.31,0.29021679667674,1,0.373770491803279,"M2",1913,0.313139614874011,1.73966452707784,0.437,0.257,4.89553075632763e-96,1.24047853834586e-91,0.597682119205295
"SNHG3","M1","S0",305,0.02139870511457,0.339661985945556,0.508,0.445,0.000750667913119279,1,0.770491803278688,"M3",1913,1.07710898786672,1.77447938693035,0.885,0.278,0,0,3.06174142480206
"TFPI","M1","S0",305,0.00132205713297123,0.188865304710176,0.052,0.045,0.511320985932366,1,0.0524590163934426,"M3",1913,1.19227792287274,2.21201840978244,0.615,0.076,0,0,1.68232189973613
"UBBP4","M1","S0",305,0.00369617009004266,0.336015462731151,0.056,0.045,0.36483496884206,1,0.059016393442623,"M3",1913,0.999581804020581,2.40863085306164,0.437,0.022,0,0,0.61899736147757
"UBE2J1","M1","S0",305,0.000539763530670202,0.179921176890067,0.456,0.453,0.183470588957188,1,0.639344262295081,"M2",1913,0.20138033626421,1.4917061945497,0.497,0.362,5.08532424394638e-83,1.28857031017357e-78,0.726269315673282
"UCA1","M1","S0",305,0.000499858754358919,0.0999717508717839,0.007,0.002,0.140446723045026,1,0.00655737704918033,"M3",1913,2.285939425928,3.7291018367504,0.614,0.001,0,0,1.18047493403693
"ZMPSTE24","M1","S0",305,0.0208536070891108,0.408894256649231,0.446,0.395,0.00323942213208339,1,0.622950819672131,"M2",1913,1.02347821776424,2.79638857312635,0.647,0.281,0,0,1.33940397350992
"ABHD5","M1","S1",273,0.011770620525756,0.192960992225508,0.22,0.159,0.0237061121335117,1,0.241758241758241,"M3",1913,0.950664990522319,1.87507887676986,0.603,0.096,0,0,1.03799472295513
"AC012146.7","M1","S1",273,0.0147668213156234,0.164075792395816,0.333,0.243,0.00935889867837749,1,0.395604395604395,"M3",1913,1.47353942728482,2.37667649562068,0.739,0.119,0,0,1.68073878627966
"AC016723.4","M1","S1",273,7.3767385525298e-05,0.036883692762649,0.007,0.005,0.603955629547583,1,0.00732600732600733,"M3",1913,2.08780399403933,3.41144443470479,0.616,0.004,0,0,1.04221635883904
"AC079466.1","M1","S1",273,0.000399148111097374,0.0798296222194748,0.011,0.006,0.36206209490022,1,0.010989010989011,"M3",1913,1.76866678426327,3.31211008289002,0.538,0.004,0,0,0.881794195250653
"ACN9","M1","S1",273,0.0501741026252539,0.323703887904864,0.879,0.724,8.35744365905508e-06,0.211769264876797,2.07326007326007,"M3",1913,1.0706277163111,1.87500475711226,0.958,0.387,0,0,4.4606860158311
"ADA","M1","S1",273,0.0117463607837273,0.146829509796591,0.352,0.272,0.0258118771622575,1,0.435897435897435,"M4",1913,0.404400288973086,2.12842257354256,0.359,0.169,1.3592465912449e-103,3.44419493755546e-99,0.557836755132695
"ATF7IP2","M1","S1",273,0.0341677576964666,0.322337336759119,0.509,0.403,0.00113946232924679,1,0.791208791208789,"M3",1913,1.1272127924739,1.84486545413077,0.875,0.264,0,0,3.10343007915563
"BACE2","M1","S1",273,0.000316324247701125,0.0150630594143393,0.212,0.191,0.532851651778272,1,0.245421245421245,"M4",1913,0.809138995173464,3.14840075942982,0.329,0.072,1.50728156892628e-205,3.81930076750231e-201,0.487731597396091
"BEX1","M1","S1",273,0.0703211134090861,0.790124869765013,0.205,0.116,2.94595842195001e-05,0.746476404537913,0.391941391941392,"M2",1913,0.617860703698619,2.78315632296675,0.27,0.048,1.98515967428896e-178,5.03019609868078e-174,0.404525386313467
"BST1","M1","S1",273,8.27553094715425e-05,0.0165510618943085,0.015,0.01,0.530341111120864,1,0.0146520146520147,"M2",1913,1.06710952706782,3.51022870745995,0.316,0.012,0,0,0.410596026490068
"C12orf75","M1","S1",273,0.0520569706928259,0.409897407030125,0.842,0.715,1.6935089263818e-08,0.000429118226855885,2.13919413919413,"M4",1913,0.509482576680174,1.93719610905009,0.558,0.295,2.07719529570126e-173,5.26340515977742e-169,1.21432148222334
"C17orf99","M1","S1",273,2.53856500070126e-06,0.000846188333567088,0.004,0.001,0.346262517732472,1,0.00366300366300366,"M3",1913,1.684580105962,3.36916021192401,0.502,0.002,0,0,0.920844327176773
"C1orf50","M1","S1",273,0.0443344311937098,0.3789267623394,0.498,0.381,0.000367640978404821,1,0.717948717948716,"M2",1913,0.178570605059873,1.62336913690794,0.431,0.321,1.66856603371239e-62,4.22797947282383e-58,0.613686534216332
"C2orf88","M1","S1",273,0.00494601960935878,0.215044330841686,0.062,0.039,0.0826075669687528,1,0.0659340659340659,"M3",1913,2.155168320208,3.17403287217673,0.712,0.033,0,0,1.43377308707122
"CAV2","M1","S1",273,0.0222228074995488,0.326805992640424,0.187,0.119,0.00387288505209261,1,0.216117216117216,"M3",1913,1.28850881268056,2.47790156284723,0.573,0.053,0,0,0.962532981530335
"CBS","M1","S1",273,0.017278181323074,0.210709528330171,0.495,0.413,0.0172069631925042,1,0.765567765567764,"M3",1913,1.1647932934019,1.89705748111059,0.815,0.201,0,0,2.01108179419522
"CCDC71L","M1","S1",273,0.00462808398418442,0.165288713720872,0.088,0.06,0.0879252789621205,1,0.0915750915750916,"M3",1913,0.958348441801738,2.31485130869985,0.443,0.029,0,0,0.67493403693931
"CD68","M1","S1",273,0.000282447467793477,0.040349638256211,0.029,0.022,0.459105055074228,1,0.0293040293040293,"M2",1913,0.428851196931843,2.35632525786727,0.284,0.102,1.64812702101535e-104,4.17618905855079e-100,0.375275938189847
"CEBPD","M1","S1",273,0.00472323397208585,0.196801415503577,0.103,0.079,0.18603974222839,1,0.117216117216117,"M2",1913,0.404424282316876,1.72095439283777,0.365,0.13,2.65528628967576e-130,6.7282299294094e-126,0.500000000000002
"CELF2","M1","S1",273,0.0105489326399749,0.135242726153525,0.421,0.343,0.042635266898168,1,0.549450549450548,"M4",1913,0.428145207324082,1.97301938859024,0.482,0.265,4.38307813919583e-126,1.11062816969083e-121,0.778668002002995
"CFD","M1","S1",273,0.0169781751547759,0.151590849596213,0.403,0.291,0.00169604634219421,1,0.560439560439559,"M2",1913,2.16486480749124,3.79800843419516,0.897,0.327,0,0,3.50275938189842
"CNIH4","M1","S1",273,4.75440018913021e-05,0.00105653337536227,0.982,0.937,0.605033583128167,1,4.54945054945054,"M2",1913,0.215243715872941,1.51580081600663,0.826,0.684,4.70838609255733e-264,1.1930579519931e-259,2.74061810154522
"COL9A2","M1","S1",273,0.00042917884020214,0.06131126288602,0.029,0.022,0.458828644783402,1,0.0293040293040293,"M2",1913,1.33398087357289,3.83327837233588,0.361,0.013,0,0,0.481788079470201
"CRNDE","M1","S1",273,0.033711503587807,0.283289946116025,0.901,0.782,4.59656445036982e-07,0.0116472346607921,2.47252747252747,"M2",1913,0.243375419741345,1.55016190918054,0.644,0.487,4.59769575919926e-147,1.1650101284235e-142,1.21688741721853
"CTCFL","M1","S1",273,4.00228066857852e-05,0.0200114033428926,0.004,0.002,0.714382510601842,1,0.00366300366300366,"M3",1913,2.11314644263629,3.53960878163532,0.599,0.002,0,0,1.00105540897097
"CYSTM1","M1","S1",273,0.04089681616386,0.324577906062381,0.835,0.709,1.47017061006486e-05,0.372526530884336,1.95970695970695,"M3",1913,1.55281793156185,2.32806286590982,0.95,0.283,0,0,4.14036939313979
"DSCR8","M1","S1",273,7.5731909058887e-05,0.0378659545294435,0.011,0.009,0.68806477391359,1,0.010989010989011,"M3",1913,3.82593239746185,4.46433185234755,0.862,0.005,0,0,2.21055408970973
"EIF5A","M1","S1",273,6.68865196079779e-06,0.000152014817290859,0.476,0.432,0.426461968851601,1,0.725274725274724,"M3",1913,2.15220507440328,2.92817016925616,0.933,0.198,0,0,4.35039577836408
"EMB","M1","S1",273,0.00596671447067394,0.161262553261458,0.147,0.11,0.101977357272539,1,0.161172161172161,"M2",1913,1.10064580657557,2.9429032261379,0.462,0.088,0,0,0.694812362030898
"EPCAM","M1","S1",273,0.000486857288671865,0.0486857288671865,0.051,0.041,0.476890812029834,1,0.054945054945055,"M3",1913,2.69397583172498,3.81043257669728,0.722,0.015,0,0,1.60316622691291
"EVL","M1","S1",273,0.0290949768523852,0.350541889787773,0.242,0.159,0.0011038421607664,1,0.263736263736263,"M4",1913,0.405092936646429,2.15474966301292,0.368,0.18,1.25114432691291e-99,3.17027460996463e-95,0.572358537806705
"FADS1","M1","S1",273,0.021742090610218,0.192407881506354,0.447,0.334,0.00438779141105491,1,0.593406593406592,"M3",1913,0.946523337217472,1.779179205296,0.801,0.269,0,0,2.97889182058043
"FAM210B","M1","S1",273,0.0426560071039305,0.414135991300296,0.352,0.249,0.000984651800184337,1,0.483516483516483,"M3",1913,1.76994060808841,2.62213423420505,0.792,0.117,0,0,1.87071240105538
"FCGRT","M1","S1",273,0.00284652474457148,0.0558142106778721,0.385,0.334,0.182512936930845,1,0.534798534798534,"M2",1913,1.54846633470261,3.22597153063044,0.648,0.168,0,0,1.37306843267107
"FECH","M1","S1",273,0.00261007278311876,0.100387414735337,0.19,0.164,0.289835615809326,1,0.208791208791209,"M3",1913,0.958408493430984,1.83252101994452,0.636,0.113,0,0,1.12137203166226
"FLNA","M1","S1",273,0.000842525492743238,0.0324048266439707,0.183,0.157,0.341293152976579,1,0.212454212454212,"M2",1913,0.27299091344685,1.70619320904281,0.408,0.248,1.43278663355741e-80,3.63053805077112e-76,0.599889624724059
"GAS5","M1","S1",273,0.00766088243416481,0.0758503211303447,0.744,0.643,0.0685865409459941,1,1.61172161172161,"M2",1913,0.157793719235622,1.26234975388498,0.861,0.736,9.49883528567479e-217,2.40690987303713e-212,3.11092715231785
"GATA2","M1","S1",273,0.0434372012443347,0.350300010034957,0.374,0.25,5.83994185777798e-05,1,0.465201465201464,"M4",1913,0.743788424266814,2.84976407765063,0.48,0.219,1.48300912093205e-184,3.75779681152972e-180,0.776164246369546
"GCHFR","M1","S1",273,0.0280278336715035,0.264413525202863,0.487,0.381,0.00209212312113997,1,0.72161172161172,"M3",1913,0.951722012932137,1.68745037753925,0.751,0.187,0,0,1.66068601583111
"GPX1","M1","S1",273,0.00810348055852753,0.152895859594859,0.912,0.859,0.00311932113815242,1,2.84615384615384,"M2",1913,0.636906518675595,1.79917095671072,0.902,0.548,0,0,3.0469094922737
"GYPB","M1","S1",273,0.000603684074564784,0.067076008284976,0.026,0.017,0.332392931242541,1,0.0256410256410256,"M3",1913,4.71037652734958,5.22794287164215,0.911,0.01,0,0,4.21424802110814
"HBD","M1","S1",273,0.0018263470831085,0.140488237162192,0.029,0.016,0.121662725756142,1,0.0293040293040293,"M3",1913,2.24323109966912,3.2795776310952,0.766,0.082,0,0,4.20474934036937
"HBQ1","M1","S1",273,0.00865103675715733,0.149155806157885,0.242,0.184,0.0498826925283926,1,0.267399267399267,"M3",1913,2.20452794193707,3.10496893230573,0.796,0.086,0,0,1.94934036939311
"HES6","M1","S1",273,0.0537755766284227,0.401310273346438,0.484,0.35,3.77199045043918e-05,0.955784660236784,0.732600732600731,"M3",1913,1.04994387520398,1.82917051429264,0.776,0.202,0,0,2.05277044854878
"HHEX","M1","S1",273,0.018869653474879,0.285903840528469,0.267,0.201,0.0198234453420886,1,0.318681318681318,"M4",1913,0.207224575282874,1.6711659297006,0.375,0.251,3.05744582665941e-56,7.74726198017227e-52,0.573860791186775
"HIC2","M1","S1",273,0.0228370966807337,0.321649249024418,0.201,0.13,0.00340720943694683,1,0.219780219780219,"M3",1913,1.39688528787716,2.49443801406636,0.624,0.064,0,0,1.09393139841687
"HIST1H2AE","M1","S1",273,0.00105744016565752,0.117493351739724,0.018,0.009,0.132313152528683,1,0.0183150183150183,"M3",1913,1.09245464034651,2.52883018598729,0.445,0.013,0,0,0.67810026385224
"HIST1H2BD","M1","S1",273,0.00369580848463228,0.205322693590682,0.037,0.019,0.0617888338587281,1,0.0366300366300366,"M3",1913,1.00806437085594,2.45869358745352,0.425,0.015,0,0,0.662269129287596
"HIST1H2BN","M1","S1",273,0.00386331922732018,0.193165961366009,0.04,0.02,0.0415735951828118,1,0.0402930402930403,"M3",1913,1.56496514678519,2.72167851614815,0.603,0.028,0,0,1.11451187335091
"HLA-DMA","M1","S1",273,0.00120934143127892,0.0636495490146802,0.07,0.051,0.233189972268918,1,0.0769230769230769,"M4",1913,1.90667560775121,4.14494697337219,0.497,0.037,0,0,0.867801702553821
"HMBS","M1","S1",273,0.0193092589334737,0.18216282012711,0.729,0.623,0.0118622530556708,1,1.33333333333333,"M3",1913,1.74245921386702,2.81041808688229,0.97,0.35,0,0,7.13825857519794
"HMGA1","M1","S1",273,0.0238348783381629,0.222755872319279,0.802,0.695,0.00036644290892632,1,1.81684981684981,"M3",1913,0.945380967374906,1.87204151955427,0.968,0.463,0,0,5.96358839050135
"HNRNPU-AS1","M1","S1",273,8.29583390788045e-05,0.00296279782424302,0.216,0.188,0.347864551228323,1,0.256410256410256,"M2",1913,0.195880608818774,1.83065989550256,0.269,0.162,2.45163013093097e-41,6.21218558876599e-37,0.333333333333335
"HOPX","M1","S1",273,0.00636471709280216,0.129892185567391,0.136,0.087,0.0168982614643785,1,0.146520146520146,"M4",1913,2.27904976922047,4.71852954289952,0.522,0.039,0,0,1.74561842764147
"HOXB4","M1","S1",273,0.00727858036643321,0.17752635040081,0.154,0.113,0.0737129936807159,1,0.172161172161172,"M3",1913,1.00565901943877,2.25990790885116,0.491,0.046,0,0,0.736675461741419
"HSPB1","M1","S1",273,0.0825890123209919,0.453785781983472,0.505,0.323,6.65347330819767e-08,0.00168592360156421,0.68131868131868,"M2",1913,0.405789100598369,1.77977675701039,0.627,0.399,4.26268204822315e-175,1.08012100419926e-170,1.17935982339955
"ICAM3","M1","S1",273,0.00912347742800327,0.186193416898026,0.212,0.163,0.0477382287275776,1,0.238095238095238,"M4",1913,0.73714274800135,2.53313659106993,0.574,0.283,2.6603254332446e-235,6.74099861529849e-231,1.08262393590385
"ICAM4","M1","S1",273,0.00784452092246154,0.29053781194302,0.073,0.046,0.0582457859386619,1,0.0769230769230769,"M3",1913,1.2664882820926,2.72950060795818,0.482,0.018,0,0,0.720844327176776
"IFI27L2","M1","S1",273,0.0536761917369598,0.365144161475917,0.451,0.304,8.51531242169675e-06,0.215769501453374,0.600732600732599,"M2",1913,0.186717925419578,1.63787653876823,0.261,0.147,1.45242383352511e-43,3.68029675176927e-39,0.33057395143488
"IFI30","M1","S1",273,0.000777165622556548,0.0431758679198082,0.114,0.096,0.355568541473613,1,0.139194139194139,"M3",1913,1.10256911548999,1.83761519248332,0.664,0.064,0,0,1.36253298153033
"IFITM2","M1","S1",273,0.000149374365388471,0.00786180870465636,0.26,0.241,0.663111093123816,1,0.336996336996336,"M4",1913,0.666074753454533,2.33710439808608,0.499,0.214,4.61211009323281e-196,1.16866257652426e-191,0.805207811717567
"IQGAP2","M1","S1",273,0.00381789282124008,0.10605257836778,0.256,0.22,0.204882170607681,1,0.315018315018315,"M4",1913,0.790855869298452,2.72708920447742,0.504,0.214,6.74659263978297e-219,1.70951910899461e-214,0.938908362543806
"IRF2BP2","M1","S1",273,0.00439954273868324,0.050569456766474,0.458,0.371,0.103661671046235,1,0.582417582417581,"M2",1913,0.432746407385299,1.70372601332795,0.579,0.325,1.77598126213361e-164,4.50015892012036e-160,0.947019867549654
"JUNB","M1","S1",273,0.00381199006406411,0.0907616681920025,0.19,0.148,0.0900362676748451,1,0.241758241758242,"M3",1913,1.12820922163178,1.79080828830442,0.834,0.204,0,0,2.97414248021104
"KCNH2","M1","S1",273,0.00933440304072357,0.311146768024119,0.051,0.021,0.00389711615037618,1,0.0512820512820513,"M3",1913,3.72348456529179,4.4699694661366,0.847,0.014,0,0,2.842216358839
"KIAA0930","M1","S1",273,0.000948724062501583,0.0592952539063489,0.139,0.123,0.453930629138183,1,0.153846153846154,"M2",1913,0.72558451282226,2.50201556145607,0.371,0.081,1.68804656813776e-222,4.27734119900428e-218,0.495033112582784
"KLRG1","M1","S1",273,0.00124155214405116,0.0539805280022243,0.11,0.087,0.259497359623481,1,0.117216117216117,"M4",1913,0.976738453595059,3.31097780879681,0.34,0.045,6.25237688086681e-282,1.58428977784284e-277,0.47070605908863
"LIMD2","M1","S1",273,0.00579159002007697,0.0998550003461547,0.571,0.513,0.207746162731912,1,0.978021978021976,"M4",1913,0.444878910180776,2.05962458417026,0.471,0.255,1.47140077374338e-124,3.72838242058835e-120,0.809714571857777
"LINC00152","M1","S1",273,0.028302847100238,0.372405882897868,0.242,0.166,0.0023948439379467,1,0.285714285714285,"M3",1913,1.14219777268645,1.87553000441124,0.761,0.152,0,0,1.68601583113454
"LINC00958","M1","S1",273,0.0126863498791157,0.362467139403307,0.092,0.057,0.0283180393761531,1,0.10989010989011,"M3",1913,2.71517682860882,3.80276866751936,0.737,0.023,0,0,1.83482849604219
"LINC01033","M1","S1",273,0.0185015520557885,0.420489819449739,0.084,0.04,0.00147162561358166,1,0.0879120879120879,"M3",1913,1.74149260942697,3.12095449718095,0.575,0.017,0,0,0.97467018469656
"LPXN","M1","S1",273,0.00064803326360013,0.0498487125846254,0.029,0.016,0.151005517845279,1,0.0293040293040293,"M4",1913,0.882980934326719,3.37015623788824,0.28,0.018,9.47304563701988e-288,2.40037503396447e-283,0.404606910365547
"MAGEC2","M1","S1",273,6.01728617985087e-06,0.00601728617985087,0.004,0.003,0.866579492512119,1,0.00366300366300366,"M3",1913,1.14572225912936,2.82894384970212,0.407,0.002,0,0,0.607915567282319
"MATK","M1","S1",273,0.00268949966581571,0.0896499888605238,0.092,0.062,0.0953909476115577,1,0.0952380952380952,"M4",1913,0.433208855637923,2.31662489645948,0.278,0.091,4.22383768162473e-114,1.07027823014689e-109,0.385578367551325
"MBNL1","M1","S1",273,0.000786281505096995,0.0561629646497854,0.172,0.158,0.589895361151339,1,0.201465201465201,"M2",1913,0.387194236107088,1.81781331505675,0.512,0.299,2.77438859540392e-132,7.030023261894e-128,0.76655629139072
"MDK","M1","S1",273,0.0195070299036995,0.243837873796244,0.956,0.876,1.3725743146815e-05,0.347796605597145,4.7142857142857,"M3",1913,1.34981277314057,2.17711737603317,0.994,0.374,0,0,8.63271767810035
"NARF","M1","S1",273,0.00847063645073696,0.0973636373647927,0.597,0.51,0.0925681566575821,1,0.95238095238095,"M3",1913,1.40819233128084,2.21066300044088,0.953,0.316,0,0,4.40422163588387
"NEK6","M1","S1",273,0.00872821619251231,0.130271883470333,0.3,0.233,0.0588267991433002,1,0.362637362637362,"M4",1913,0.279951641590859,1.59063432722079,0.388,0.212,1.14229982456415e-80,2.89447352546309e-76,0.662994491737601
"NFE4","M1","S1",273,0.000168861310540144,0.0844306552700718,0.004,0.002,0.538244014730469,1,0.00366300366300366,"M3",1913,1.67282639111011,3.24820658467982,0.517,0.002,0,0,0.865963060686009
"NMU","M1","S1",273,0.0118086517555764,0.184510183680881,0.315,0.251,0.049712763338037,1,0.384615384615384,"M3",1913,4.21157786079089,5.00187394393217,0.94,0.098,0,0,8.75356200527715
"PABPC4","M1","S1",273,0.00790714131662425,0.0976190286002994,0.473,0.392,0.0709513822192121,1,0.626373626373625,"M2",1913,0.232674290019045,1.66195921442175,0.533,0.393,8.51107219663512e-103,2.15662058390537e-98,0.828918322295794
"PAG1","M1","S1",273,0.000426421282794696,0.0266513301746685,0.128,0.112,0.453348835442728,1,0.142857142857143,"M4",1913,1.72410190368876,3.58441144218038,0.564,0.083,0,0,1.18728092138208
"PAGE5","M1","S1",273,0.000179157836713223,0.0447894591783058,0.011,0.007,0.442307303294539,1,0.010989010989011,"M3",1913,3.87701200191324,4.69940848716756,0.832,0.007,0,0,3.02955145118729
"PDLIM4","M1","S1",273,0.00494473913348553,0.164824637782851,0.19,0.16,0.236662336819888,1,0.223443223443223,"M3",1913,1.16129876131219,2.16256752572102,0.618,0.081,0,0,1.11292875989445
